Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params
refugia_adj_2	Round_3_Replicate_5	-3867.37	7750.74	11064.57	376.46	0.1709,0.2272,7.5465,0.2548,0.4838,0.8397,3.1051,0.4847	
refugia_adj_2	Round_1_Replicate_3	-3894.34	7804.68	38334.75	260.94	0.5901,0.7448,1.4246,3.6009,3.6376,0.5658,1.617,1.6096	
refugia_adj_3	Round_3_Replicate_5	-2237.69	4495.38	3118.89	342.81	1.7027,0.6304,1.1133,0.6459,1.4951,1.2493,0.6258,0.2227,1.6021,0.8731	
refugia_adj_3	Round_3_Replicate_1	-2393.83	4807.66	3271.19	325.01	1.8113,1.2597,1.0054,0.3984,2.3694,1.3078,0.808,0.8398,1.5258,0.9131	
refugia_adj_3	Round_3_Replicate_6	-2518.38	5056.76	3196.81	339.67	1.4348,0.857,0.8587,0.613,1.8765,1.1009,0.9412,0.2762,4.3833,0.834	
refugia_adj_3	Round_3_Replicate_4	-2959.6	5939.2	4212.89	342.41	0.9319,1.46,0.7585,1.3102,2.7022,1.2013,0.6073,0.678,1.2783,0.9889	
refugia_adj_3	Round_1_Replicate_4	-3051.23	6122.46	6164.13	358.22	1.5039,0.9072,0.5838,0.7958,2.2004,1.9408,0.6382,0.4327,2.2994,0.9686	
split_nomig	Round_3_Replicate_2	-2441.28	4894.56	7091.34	328.48	6.0105,0.1809,4.3368,1.2749,0.0751,0.4411	
split_nomig	Round_3_Replicate_1	-2821.95	5655.9	108933.09	359.62	4.4043,0.3508,3.7072,2.2465,0.0978,0.3321	
split_nomig	Round_3_Replicate_5	-2904.09	5820.18	24924.08	261.12	10.6289,0.1837,5.7462,2.3203,0.0985,0.5605	
split_nomig	Round_3_Replicate_7	-2914.3	5840.6	74361.04	285.38	6.8924,0.2845,5.8912,2.5228,0.1472,0.4568	
split_nomig	Round_3_Replicate_9	-2974.19	5960.38	169239.23	362.65	11.0871,0.1717,4.8156,1.8935,0.0772,0.3081	
split_symmig_adjacent	Round_3_Replicate_7	-1560.62	3139.24	1847.16	388.33	1.7192,0.4878,2.8341,0.256,1.8463,0.5652,1.1585,0.255,0.5842	
split_symmig_adjacent	Round_2_Replicate_4	-1607.73	3233.46	1924.48	421.64	1.8067,0.8671,3.5623,0.192,1.6296,0.3947,1.3276,0.3116,0.3038	
split_symmig_adjacent	Round_3_Replicate_1	-1682.72	3383.44	4126.21	475.99	1.0118,1.0335,3.0497,0.2033,2.6884,0.6891,1.9725,0.2108,0.3058	
split_symmig_adjacent	Round_3_Replicate_8	-1731.25	3480.5	4314.36	410.73	2.0829,0.47,2.9301,0.1447,1.7473,0.3033,2.4505,0.5266,0.4555	
split_symmig_adjacent	Round_3_Replicate_6	-1738.79	3495.58	7490.18	432.41	1.8407,1.3744,3.1304,0.1911,2.7951,0.4136,2.357,0.1608,0.3721	
split_symmig_all	Round_3_Replicate_4	-1688.07	3396.14	1404.01	162.15	3.2552,5.3829,4.8777,0.4886,0.079,0.1912,0.5336,0.2152,1.668,2.8172	
split_symmig_all	Round_3_Replicate_5	-1794.68	3609.36	1665.49	145.43	2.6044,6.4845,8.4782,0.2755,0.1798,0.122,0.5068,0.4185,2.4864,3.3401	
split_symmig_all	Round_1_Replicate_3	-1944.26	3908.52	1500.37	153.79	2.0177,6.6901,4.9346,0.4976,0.1459,0.2526,0.2993,0.29,3.1591,3.3367	
split_symmig_all	Round_3_Replicate_10	-1980.96	3981.92	1761.97	183.66	2.1467,6.6539,3.0439,0.8295,0.1397,0.146,0.4688,0.2118,2.4157,1.7333	
split_symmig_all	Round_3_Replicate_9	-2031.14	4082.28	1959.65	165.53	1.3017,3.4971,6.7985,0.2884,0.2018,0.3298,0.359,0.3111,2.2014,4.5462	
