Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params
anc_sym_mig	Round_4_Replicate_27	-619.76	1249.52	792.51	560.52	0.2215,0.1937,0.5444,0.3636,0.0238	
anc_sym_mig_size	Round_4_Replicate_3	-583.32	1180.64	762.94	584.02	2.7598,0.2254,0.0594,0.1098,1.6347,0.3302,0.0557	
anc_sym_mig_size	Round_4_Replicate_13	-586.62	1187.24	782.05	546.04	7.2004,0.2631,0.078,0.1184,3.1513,0.715,0.0822	
anc_sym_mig_size	Round_4_Replicate_40	-591.34	1196.68	797.75	449.65	2.3871,0.3694,0.116,0.1794,1.7692,1.0566,0.1198	
anc_sym_mig_size	Round_4_Replicate_37	-591.67	1197.34	718.06	566.07	3.9046,0.186,0.0692,0.156,2.3937,0.4232,0.0671	
anc_sym_mig_size	Round_4_Replicate_26	-592.24	1198.48	783.21	513.89	2.6751,0.3599,0.1008,0.1591,1.5249,0.391,0.1011	
asym_mig	Round_4_Replicate_18	-611.4	1232.8	764.24	469.77	0.3138,0.2511,0.0877,0.234,0.4415	
asym_mig	Round_4_Replicate_4	-615.81	1241.62	765.45	459.9	0.2964,0.2873,0.2073,0.1888,0.5641	
asym_mig	Round_4_Replicate_24	-618.68	1247.36	775.84	416.5	0.3741,0.3178,0.1898,0.1434,0.6517	
asym_mig	Round_4_Replicate_40	-621.93	1253.86	750.59	403.37	0.3934,0.3405,0.125,0.1431,0.5773	
asym_mig	Round_4_Replicate_38	-623.1	1256.2	736.73	392.99	0.3837,0.3683,0.1721,0.1654,0.7122	
asym_mig_size	Round_4_Replicate_12	-508.15	1032.3	596.65	64.53	3.0259,4.8023,0.5118,0.3642,0.0487,0.0148,11.0225,0.0914	
asym_mig_size	Round_4_Replicate_40	-508.93	1033.86	552.91	70.07	2.7178,4.2958,0.5747,0.4004,0.0603,0.0239,10.5299,0.1071	
asym_mig_size	Round_4_Replicate_5	-510.85	1037.7	504.81	53.25	3.6588,5.2833,0.289,0.5223,0.0872,0.0132,16.7559,0.0942	
asym_mig_size	Round_4_Replicate_24	-513.97	1043.94	563.99	85.16	4.6557,3.2865,0.2778,0.5045,0.099,0.0312,9.0124,0.1561	
asym_mig_size	Round_4_Replicate_2	-515.84	1047.68	633.38	101.28	2.6172,3.3723,0.2882,0.2623,0.0736,0.0188,5.9939,0.0748	
asym_mig_twoepoch	Round_4_Replicate_14	-635.44	1286.88	842.32	423.35	0.4203,0.2879,1.103,3.4861,0.0828,0.2095,0.378,0.5796	
asym_mig_twoepoch	Round_4_Replicate_16	-642.43	1300.86	816.14	354.53	0.536,0.3314,0.6376,1.9357,0.1357,0.2603,0.525,0.8692	
asym_mig_twoepoch	Round_4_Replicate_11	-644.49	1304.98	817.42	399.34	0.4478,0.2989,0.3674,2.1087,0.0886,0.3155,0.3545,0.679	
asym_mig_twoepoch	Round_4_Replicate_29	-647.22	1310.44	814.06	452.87	0.3782,0.2565,0.7217,1.2294,0.0716,0.4094,1.1358,0.4136	
asym_mig_twoepoch	Round_4_Replicate_22	-653.47	1322.94	895.84	424.46	0.3455,0.3375,0.4499,2.3189,0.0829,0.1503,0.3161,0.5246	
no_mig	Round_4_Replicate_27	-646.44	1298.88	927.55	471.14	0.2723,0.2579,0.2868	
no_mig	Round_4_Replicate_20	-647.03	1300.06	947.6	469.48	0.2832,0.2542,0.2932	
no_mig	Round_4_Replicate_37	-651.66	1309.32	961.44	460.0	0.2862,0.2742,0.3098	
no_mig	Round_4_Replicate_25	-653.26	1312.52	1000.81	457.37	0.2983,0.2728,0.3237	
no_mig	Round_4_Replicate_39	-662.98	1331.96	1099.79	445.68	0.3233,0.284,0.3617	
no_mig_size	Round_4_Replicate_37	-581.33	1174.66	778.22	467.4	4.826,0.7652,0.0814,0.1264,0.3732,0.0712	
no_mig_size	Round_4_Replicate_25	-583.8	1179.6	784.73	447.67	9.5508,1.4571,0.0826,0.1167,0.4439,0.0792	
no_mig_size	Round_4_Replicate_14	-584.9	1181.8	892.53	401.3	7.5203,0.8526,0.0982,0.1696,0.5691,0.0868	
no_mig_size	Round_4_Replicate_16	-588.58	1189.16	820.55	392.28	5.1041,1.6802,0.1098,0.1429,0.5697,0.0921	
no_mig_size	Round_4_Replicate_13	-590.13	1192.26	846.08	488.41	3.056,0.7398,0.11,0.1407,0.3091,0.1004	
sec_contact_asym_mig	Round_4_Replicate_15	-647.47	1306.94	770.76	1040.45	0.0921,0.1478,1.9606,0.299,0.1999,1.9009	
sec_contact_asym_mig	Round_4_Replicate_10	-649.97	1311.94	779.54	995.62	0.0937,0.1572,1.8989,0.2394,0.1189,1.8516	
sec_contact_asym_mig	Round_4_Replicate_23	-650.56	1313.12	805.95	1146.83	0.0788,0.1276,2.1286,0.3382,0.2267,1.2779	
sec_contact_asym_mig	Round_4_Replicate_5	-650.73	1313.46	767.61	804.07	0.1102,0.2006,1.6017,0.2002,0.1375,1.6157	
sec_contact_asym_mig	Round_4_Replicate_19	-651.52	1315.04	754.28	1458.44	0.0625,0.1142,2.9234,0.3474,0.2268,1.7419	
sec_contact_asym_mig_size	Round_4_Replicate_13	-678.2	1372.4	1059.09	416.52	0.2949,0.3662,4.4047,0.2295,0.1158,0.0735,0.4257,0.0288	
sec_contact_asym_mig_size	Round_4_Replicate_3	-701.73	1419.46	1015.27	297.94	0.5241,0.7528,4.2804,0.2736,0.0924,0.0965,0.7439,0.0554	
sec_contact_asym_mig_size	Round_4_Replicate_23	-709.13	1434.26	1038.02	294.1	0.552,0.6408,1.7969,0.3321,0.098,0.0973,0.8165,0.0972	
sec_contact_asym_mig_size	Round_4_Replicate_4	-712.83	1441.66	970.4	358.63	0.3846,0.438,3.9945,0.3121,0.0958,0.0972,0.4604,0.0516	
sec_contact_asym_mig_size	Round_4_Replicate_14	-732.33	1480.66	1140.44	385.04	0.3551,0.3293,2.0184,0.2691,0.0737,0.1105,0.4613,0.0725	
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_10	-782.57	1583.14	1949.34	62.05	0.1016,0.0271,2.4211,3.1522,3.4142,0.5191,14.9197,0.4949,3.3275	
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_10	-794.58	1607.16	1568.33	61.03	0.2003,0.0435,1.4332,1.9817,1.1998,0.9634,16.3522,0.2994,1.9289	
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_17	-848.1	1714.2	1388.95	32.97	0.063,0.0143,3.3504,6.3152,1.3327,0.376,28.0679,0.2919,1.9588	
sec_contact_asym_mig_size_three_epoch	Round_2_Replicate_1	-882.06	1782.12	3024.04	126.46	1.7079,0.5517,1.9747,0.9931,2.2381,1.3785,2.4112,0.6618,1.9135	
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_12	-936.53	1891.06	4587.21	72.89	0.1253,0.0221,2.6465,1.7396,2.4042,1.625,7.8866,0.2225,3.8313	
sec_contact_asym_mig_three_epoch	Round_4_Replicate_32	-674.64	1363.28	1057.11	440.59	0.3098,0.3456,2.8749,0.5687,0.0238,0.2604,0.0157	
sec_contact_asym_mig_three_epoch	Round_4_Replicate_20	-677.7	1369.4	1033.7	435.66	0.3348,0.3402,3.0241,0.218,0.0266,0.248,0.0155	
sec_contact_asym_mig_three_epoch	Round_4_Replicate_19	-683.98	1381.96	1016.9	440.69	0.3113,0.3644,4.1501,0.289,0.0406,0.2611,0.0346	
sec_contact_asym_mig_three_epoch	Round_4_Replicate_25	-694.18	1402.36	1130.4	409.54	0.3752,0.3816,3.3448,0.4084,0.0183,0.3126,0.0133	
sec_contact_asym_mig_three_epoch	Round_4_Replicate_29	-694.56	1403.12	1200.42	401.03	0.3604,0.4008,2.2928,0.3403,0.0434,0.3086,0.0168	
sec_contact_sym_mig	Round_4_Replicate_6	-637.65	1285.3	789.24	79.3	2.0681,1.7096,0.0454,0.1427,9.5695	
sec_contact_sym_mig	Round_4_Replicate_9	-637.65	1285.3	786.14	50.8	3.2521,2.699,0.0285,0.1326,15.3394	
sec_contact_sym_mig	Round_4_Replicate_11	-637.66	1285.32	785.92	58.8	2.7848,2.3223,0.0337,0.1525,13.2559	
sec_contact_sym_mig	Round_4_Replicate_29	-637.77	1285.54	790.81	55.98	2.9852,2.4068,0.0318,0.1447,13.9024	
sec_contact_sym_mig	Round_4_Replicate_14	-637.98	1285.96	779.9	61.97	2.644,2.2794,0.0338,0.0744,12.1245	
sec_contact_sym_mig_size	Round_4_Replicate_6	-637.76	1289.52	790.05	58.39	1.7786,9.1806,2.7921,2.3206,0.0335,1.8906,11.6878	
sec_contact_sym_mig_size	Round_3_Replicate_21	-637.94	1289.88	792.04	86.0	1.1132,5.5996,1.9223,1.5995,0.0465,1.0164,7.5769	
sec_contact_sym_mig_size	Round_4_Replicate_18	-638.3	1290.6	789.74	62.2	0.6635,4.1564,2.756,2.1798,0.0344,0.9515,11.2618	
sec_contact_sym_mig_size	Round_4_Replicate_39	-638.38	1290.76	777.19	65.97	0.6201,3.1494,2.5556,2.1027,0.0375,1.4203,10.0146	
sec_contact_sym_mig_size	Round_4_Replicate_4	-638.61	1291.22	808.55	125.83	1.0989,11.1103,1.3428,1.0323,0.0714,0.6624,5.0572	
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_4	-683.16	1382.32	1037.09	90.3	0.6825,18.4756,1.9621,1.3977,0.2134,3.3247,11.1394,0.8819	
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_9	-693.19	1402.38	1171.8	118.59	0.6995,15.5016,1.379,1.2409,0.4529,2.7027,14.8248,1.0801	
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_27	-696.18	1408.36	998.11	88.88	0.3118,21.0293,1.6726,1.8657,0.1573,2.5962,5.4871,0.7907	
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_37	-696.26	1408.52	1136.31	77.56	0.3844,9.8527,2.081,1.9728,0.2692,4.478,7.7516,1.5583	
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_11	-696.48	1408.96	1084.36	116.9	0.6717,26.5112,1.5462,1.1546,0.391,2.7566,5.2922,0.904	
sec_contact_sym_mig_three_epoch	Round_4_Replicate_24	-636.51	1285.02	859.32	123.82	0.8935,0.8288,0.2836,11.956,4.3997,0.2974	
sec_contact_sym_mig_three_epoch	Round_4_Replicate_17	-639.17	1290.34	917.65	111.07	1.1387,1.0467,0.4307,15.7231,5.0093,0.7551	
sec_contact_sym_mig_three_epoch	Round_4_Replicate_10	-643.26	1298.52	878.22	118.17	1.207,0.9896,0.1747,5.0611,5.2271,0.2783	
sec_contact_sym_mig_three_epoch	Round_4_Replicate_12	-645.1	1302.2	847.92	157.08	0.8119,0.8253,0.2156,5.2225,16.6857,0.1898	
sec_contact_sym_mig_three_epoch	Round_4_Replicate_26	-646.51	1305.02	892.31	73.46	1.3233,1.4205,0.1676,15.9355,4.7854,0.4968	
sym_mig	Round_4_Replicate_5	-591.21	1190.42	758.16	619.85	0.1487,0.1352,0.2477,0.1877	
sym_mig	Round_4_Replicate_27	-593.12	1194.24	744.79	633.27	0.1404,0.1302,0.342,0.1835	
sym_mig	Round_4_Replicate_11	-593.92	1195.84	773.89	654.87	0.113,0.1068,0.2019,0.1327	
sym_mig	Round_4_Replicate_15	-594.25	1196.5	738.75	559.21	0.2043,0.1813,0.2359,0.2748	
sym_mig	Round_4_Replicate_9	-595.22	1198.44	750.15	565.58	0.1923,0.166,0.1766,0.2244	
sym_mig_size	Round_4_Replicate_14	-504.73	1023.46	581.33	70.4	3.5057,3.0029,0.3599,0.337,0.0355,10.552,0.0644	
sym_mig_size	Round_4_Replicate_11	-519.3	1052.6	592.72	98.53	5.8702,2.4014,0.1706,0.2745,0.0839,7.6698,0.0995	
sym_mig_size	Round_4_Replicate_4	-525.31	1064.62	631.6	72.46	3.8427,5.9084,0.3056,0.2365,0.035,8.9639,0.0878	
sym_mig_size	Round_4_Replicate_13	-528.42	1070.84	583.45	90.81	3.7341,2.6714,0.3398,0.3519,0.0515,6.5511,0.0787	
sym_mig_size	Round_4_Replicate_18	-529.54	1073.08	661.98	80.93	6.2347,2.7741,0.2382,0.3606,0.0656,10.8802,0.1524	
sym_mig_twoepoch	Round_4_Replicate_34	-637.19	1286.38	766.85	246.69	0.6477,0.5832,1.8828,0.1375,0.0272,2.1574	
sym_mig_twoepoch	Round_4_Replicate_38	-638.54	1289.08	774.67	207.07	0.7798,0.7103,1.5084,0.1059,0.0276,2.6969	
sym_mig_twoepoch	Round_4_Replicate_35	-638.67	1289.34	811.32	234.28	0.7092,0.5409,4.1457,0.1416,0.0604,2.6445	
sym_mig_twoepoch	Round_4_Replicate_26	-640.42	1292.84	790.32	262.81	0.563,0.5413,3.7942,0.1487,0.0647,2.1439	
sym_mig_twoepoch	Round_4_Replicate_31	-643.91	1299.82	801.07	200.94	0.9461,0.6978,5.2571,0.0897,0.0401,2.4605	
