Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuA, nu1, nu2, m12, m21, T1, T2, s)
vic_anc_asym_mig	Round_2_Replicate_13	-2669.7	5355.4	151214.61	139.3	5.6524,0.4354,2.1395,0.1208,8.0051,0.0449,0.7254,0.4885
vic_anc_asym_mig	Round_2_Replicate_14	-1431.33	2878.66	7210.62	216.94	2.3887,0.3901,0.7859,0.0484,0.9924,0.0756,0.5042,0.4885
vic_anc_asym_mig	Round_2_Replicate_15	-962.24	1940.48	6051.53	362.99	0.8239,0.0879,0.6284,0.3132,1.9913,0.0444,0.8299,0.4885
vic_anc_asym_mig	Round_2_Replicate_16	-3123.05	6262.1	22988063875.5	268.01	0.5957,0.1953,0.3386,0.273,9.4835,0.0604,3.1643,0.4869
vic_anc_asym_mig	Round_2_Replicate_17	-1245.4	2506.8	27132.66	207.95	1.5485,0.4132,1.2426,0.3143,2.561,0.4806,1.9866,0.4885
vic_anc_asym_mig	Round_2_Replicate_18	-1410.11	2836.22	40005.93	361.88	0.7438,0.4149,3.7195,0.2669,1.3225,0.0321,1.182,0.4885
vic_anc_asym_mig	Round_2_Replicate_19	-1007.61	2031.22	4456.01	485.58	0.5671,0.4741,0.5049,0.0758,3.0224,0.0928,0.3772,0.2683
vic_anc_asym_mig	Round_2_Replicate_20	-930.99	1877.98	4007.12	514.71	0.6028,0.2718,1.7185,0.0518,8.1946,0.3763,0.4313,0.3068
vic_anc_asym_mig	Round_3_Replicate_1	-2261.16	4538.32	65756.96	197.03	3.3214,0.1832,0.6066,0.3082,1.2006,0.0369,0.453,0.4619
vic_anc_asym_mig	Round_3_Replicate_2	-1492.85	3001.7	4835.02	203.8	3.8974,0.1109,0.8048,0.1409,4.8513,0.207,0.4514,0.1386
vic_anc_asym_mig	Round_3_Replicate_3	-983.85	1983.7	7202.51	255.97	1.3328,0.8555,1.3952,0.2026,1.0516,0.1109,1.267,0.4785
vic_anc_asym_mig	Round_3_Replicate_4	-892.32	1800.64	4185.16	399.71	0.7325,0.4735,0.7124,0.0791,1.6173,0.253,0.5499,0.4726
vic_anc_asym_mig	Round_3_Replicate_5	-2111.16	4238.32	4605692.85	277.84	0.8452,0.2903,1.0578,0.2952,4.7767,0.4383,2.3283,0.4705
vic_anc_asym_mig	Round_3_Replicate_6	-1683.1	3382.2	120264.84	114.51	3.8756,1.1157,2.24,0.0772,0.9312,0.04,3.7681,0.1746
vic_anc_asym_mig	Round_3_Replicate_7	-2226.85	4469.7	18213615.56	175.03	1.346,0.0666,0.7317,0.0318,9.0797,0.1368,4.1846,0.4678
vic_anc_asym_mig	Round_3_Replicate_8	-1251.15	2518.3	29113.33	190.29	1.7308,1.0597,2.53,0.0662,4.9233,0.3984,2.29,0.4911
vic_anc_asym_mig	Round_3_Replicate_9	-1163.53	2343.06	3055.32	123.19	4.2227,0.1868,0.83,0.1396,3.6826,0.2587,1.5919,0.4677
vic_anc_asym_mig	Round_3_Replicate_10	-782.76	1581.52	2288.37	352.16	0.9011,0.1199,2.8698,0.1209,1.0538,0.3676,0.4714,0.4758
vic_anc_asym_mig	Round_3_Replicate_11	-1225.01	2466.02	2906.86	160.14	4.0453,0.0961,0.8685,0.2162,1.7048,0.1104,1.109,0.1941
vic_anc_asym_mig	Round_3_Replicate_12	-1260.1	2536.2	2876.08	186.96	3.6359,0.8752,0.3488,0.3913,7.0901,0.1074,0.7967,0.1679
vic_anc_asym_mig	Round_3_Replicate_13	-1278.18	2572.36	4434.23	156.03	3.9924,0.2817,0.2774,0.0798,1.8342,0.3234,1.2122,0.1459
vic_anc_asym_mig	Round_3_Replicate_14	-2612.73	5241.46	95436655.77	337.84	0.719,0.7463,0.9941,0.189,1.1876,0.1542,1.641,0.1994
vic_anc_asym_mig	Round_3_Replicate_15	-922.29	1860.58	1685.49	236.89	1.7736,0.0599,0.2566,0.0262,4.2784,0.2778,0.6204,0.4893
vic_anc_asym_mig	Round_3_Replicate_16	-1265.38	2546.76	3605.66	93.6	6.4956,0.3245,0.4529,0.1456,9.4835,0.3824,2.2693,0.2742
vic_anc_asym_mig	Round_3_Replicate_17	-1010.7	2037.4	5387.42	130.63	3.3264,0.7358,2.1234,0.135,3.4908,0.0998,2.4301,0.4202
vic_anc_asym_mig	Round_3_Replicate_18	-795.52	1607.04	1832.43	271.39	1.3754,0.1181,2.2522,0.0458,7.6888,0.2515,0.8008,0.4619
vic_anc_asym_mig	Round_3_Replicate_19	-1209.71	2435.42	19137.78	326.15	0.9046,0.4134,1.7473,0.2187,1.1996,0.0481,1.1895,0.4637
vic_anc_asym_mig	Round_3_Replicate_20	-2964.67	5945.34	378695.42	150.78	5.428,0.3109,0.8529,0.4921,2.9924,0.3394,0.4069,0.3334
vic_anc_asym_mig	Round_3_Replicate_21	-2672.34	5360.68	188589016.35	287.83	0.6575,0.8792,0.4362,0.3495,1.0797,0.1542,2.5067,0.4705
vic_anc_asym_mig	Round_3_Replicate_22	-1217.74	2451.48	3585.3	92.46	5.7177,0.7253,0.3445,0.1343,9.2248,0.3695,2.3529,0.4869
vic_anc_asym_mig	Round_3_Replicate_23	-1260.36	2536.72	17857.79	453.3	0.5631,0.1129,0.815,0.0853,2.3658,0.065,0.745,0.4805
vic_anc_asym_mig	Round_3_Replicate_24	-1257.0	2530.0	21045.61	280.46	1.1944,0.2215,0.4801,0.1032,1.0453,0.1289,1.2747,0.305
vic_anc_asym_mig	Round_3_Replicate_25	-787.37	1590.74	2495.68	406.58	0.7159,0.2888,0.3035,0.3166,1.6312,0.0408,0.5577,0.4758
vic_anc_asym_mig	Round_3_Replicate_26	-814.83	1645.66	2328.18	273.35	1.3509,0.3113,0.3331,0.0371,5.6816,0.1079,0.8733,0.4166
vic_anc_asym_mig	Round_3_Replicate_27	-954.71	1925.42	4402.13	147.17	2.7982,0.0896,0.8632,0.1844,9.7264,0.3827,2.0516,0.4677
vic_anc_asym_mig	Round_3_Replicate_28	-1022.92	2061.84	2685.02	138.2	3.4566,0.1302,0.5651,0.0248,8.2541,0.0498,1.7687,0.4677
vic_anc_asym_mig	Round_3_Replicate_29	-921.37	1858.74	2988.22	174.32	2.4523,0.5625,0.3526,0.041,9.4835,0.0516,1.5726,0.439
vic_anc_asym_mig	Round_3_Replicate_30	-1329.52	2675.04	13393.55	153.19	3.2472,0.0991,0.6481,0.3645,0.9791,0.0347,2.0585,0.1845
vic_anc_asym_mig	Round_4_Replicate_1	-783.28	1582.56	1362.58	289.1	1.3084,0.0692,1.9144,0.0827,1.0242,0.2251,0.4927,0.4247
vic_anc_asym_mig	Round_4_Replicate_2	-1005.09	2026.18	6971.42	401.75	0.7045,0.0674,4.6591,0.0577,0.5618,0.2073,0.6099,0.4849
vic_anc_asym_mig	Round_4_Replicate_3	-731.67	1479.34	1297.96	330.89	1.0322,0.1306,1.9237,0.1158,0.6244,0.2745,0.371,0.4599
vic_anc_asym_mig	Round_4_Replicate_4	-1311.55	2639.1	24995.61	367.62	0.7418,0.154,4.3903,0.1294,0.7667,0.6262,0.7872,0.4849
vic_anc_asym_mig	Round_4_Replicate_5	-770.16	1556.32	1220.77	319.08	1.1444,0.2017,5.7198,0.0617,0.8527,0.3048,0.3028,0.3901
vic_anc_asym_mig	Round_4_Replicate_6	-1182.48	2380.96	15274.64	380.88	0.7372,0.0595,2.7992,0.211,0.9207,0.1894,0.8332,0.4676
vic_anc_asym_mig	Round_4_Replicate_7	-822.38	1660.76	1462.2	279.11	1.4374,0.163,5.662,0.0726,0.6249,0.3744,0.3833,0.3415
vic_anc_asym_mig	Round_4_Replicate_8	-744.33	1504.66	1781.0	429.26	0.6618,0.1011,2.0901,0.2402,0.7357,0.7178,0.2027,0.4409
vic_anc_asym_mig	Round_4_Replicate_9	-682.52	1381.04	1067.08	408.16	0.7295,0.2632,4.0409,0.2103,1.5273,0.2103,0.265,0.4695
vic_anc_asym_mig	Round_4_Replicate_10	-720.51	1457.02	1439.19	364.43	0.8815,0.118,4.281,0.2497,1.7522,0.3248,0.3927,0.4553
vic_anc_asym_mig	Round_4_Replicate_11	-750.91	1517.82	1328.56	311.02	1.1455,0.1846,5.8772,0.0759,1.032,0.2391,0.4506,0.4518
vic_anc_asym_mig	Round_4_Replicate_12	-856.69	1729.38	3336.77	470.41	0.5703,0.0926,6.023,0.2161,0.8133,0.1607,0.3893,0.4151
vic_anc_asym_mig	Round_4_Replicate_13	-1044.92	2105.84	7469.57	468.76	0.5827,0.0562,3.1558,0.1194,1.6556,0.4157,0.474,0.4304
vic_anc_asym_mig	Round_4_Replicate_14	-994.92	2005.84	6075.64	460.96	0.5978,0.1673,2.5911,0.1724,1.3694,0.5275,0.4307,0.4526
vic_anc_asym_mig	Round_4_Replicate_15	-806.44	1628.88	1967.65	275.54	1.3737,0.0972,3.3027,0.1403,0.5345,0.2132,0.6761,0.3927
vic_anc_asym_mig	Round_4_Replicate_16	-813.31	1642.62	2773.56	434.09	0.6477,0.2341,4.9077,0.1945,1.2504,0.2296,0.4086,0.4849
vic_anc_asym_mig	Round_4_Replicate_17	-916.51	1849.02	4887.52	316.77	1.0094,0.1157,2.8705,0.0814,0.8156,0.4743,0.6831,0.4569
vic_anc_asym_mig	Round_4_Replicate_18	-743.3	1502.6	1256.32	313.52	1.1363,0.1111,5.8121,0.1278,1.8442,0.7218,0.3637,0.3772
vic_anc_asym_mig	Round_4_Replicate_19	-771.12	1558.24	1710.86	280.15	1.2675,0.1328,2.367,0.1,1.3398,0.6429,0.5395,0.4574
vic_anc_asym_mig	Round_4_Replicate_20	-693.35	1402.7	1108.2	384.78	0.8061,0.0941,4.0784,0.1111,0.5966,0.2309,0.2554,0.4595
vic_anc_asym_mig	Round_4_Replicate_21	-751.49	1518.98	1185.72	376.58	0.8824,0.1259,2.4525,0.0805,0.9656,0.1769,0.2461,0.3497
vic_anc_asym_mig	Round_4_Replicate_22	-1194.84	2405.68	15323.4	404.36	0.6844,0.21,3.6892,0.137,1.4785,0.3507,0.726,0.459
vic_anc_asym_mig	Round_4_Replicate_23	-1371.48	2758.96	27750.61	434.48	0.5895,0.0868,2.6265,0.1595,0.8419,0.515,0.6435,0.4849
vic_anc_asym_mig	Round_4_Replicate_24	-1469.78	2955.56	47184.44	409.26	0.64,0.127,2.136,0.1156,1.4075,0.6094,0.8424,0.4648
vic_anc_asym_mig	Round_4_Replicate_25	-701.62	1419.24	1330.76	388.12	0.7909,0.1831,4.5469,0.0911,0.7024,0.2492,0.2999,0.4589
vic_anc_asym_mig	Round_4_Replicate_26	-1069.66	2155.32	7753.08	472.78	0.5474,0.1185,4.4211,0.1152,0.5806,0.4325,0.3658,0.4776
vic_anc_asym_mig	Round_4_Replicate_27	-670.37	1356.74	1056.4	436.79	0.6549,0.0789,1.5191,0.0881,2.1247,0.1991,0.2421,0.4408
vic_anc_asym_mig	Round_4_Replicate_28	-732.42	1480.84	1724.06	427.92	0.6752,0.1096,2.0682,0.1487,0.844,0.4608,0.2333,0.44
vic_anc_asym_mig	Round_4_Replicate_29	-745.27	1506.54	1752.06	354.29	0.9041,0.1381,2.6259,0.1554,1.12,0.3131,0.4294,0.4786
vic_anc_asym_mig	Round_4_Replicate_30	-964.83	1945.66	5199.63	420.88	0.6627,0.1212,2.4833,0.0625,0.7331,0.6963,0.3525,0.4443
vic_anc_asym_mig	Round_4_Replicate_31	-871.72	1759.44	3605.37	430.99	0.6801,0.1004,3.2826,0.1025,1.5572,0.6224,0.3979,0.4644
vic_anc_asym_mig	Round_4_Replicate_32	-712.2	1440.4	1100.59	363.37	0.8995,0.0927,2.1356,0.0473,1.0999,0.2611,0.2765,0.4393
vic_anc_asym_mig	Round_4_Replicate_33	-796.22	1608.44	2401.38	485.87	0.5931,0.1709,5.8584,0.1726,1.7095,0.6705,0.2753,0.4075
vic_anc_asym_mig	Round_4_Replicate_34	-776.67	1569.34	2147.1	344.4	0.9359,0.1698,3.3556,0.0726,1.6545,0.2327,0.5495,0.4951
vic_anc_asym_mig	Round_4_Replicate_35	-736.23	1488.46	1322.77	326.38	1.0594,0.0714,2.3929,0.1337,1.488,0.2667,0.4304,0.4436
vic_anc_asym_mig	Round_4_Replicate_36	-732.12	1480.24	1266.67	332.78	1.0375,0.1857,3.1551,0.0619,1.8985,0.4187,0.376,0.4181
vic_anc_asym_mig	Round_4_Replicate_37	-751.46	1518.92	1825.12	455.82	0.6429,0.1152,3.1856,0.1434,2.1057,0.4775,0.2961,0.4792
vic_anc_asym_mig	Round_4_Replicate_38	-770.88	1557.76	1882.57	303.66	1.1428,0.1858,2.9566,0.0633,1.3764,0.3571,0.5646,0.4584
vic_anc_asym_mig	Round_4_Replicate_39	-770.25	1556.5	2084.73	370.26	0.8267,0.2788,3.6452,0.0862,0.5837,0.5341,0.3005,0.4801
vic_anc_asym_mig	Round_4_Replicate_40	-675.61	1367.22	1039.36	444.76	0.654,0.0697,2.8577,0.2636,1.6261,0.4358,0.1811,0.4423
