Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuA, nu1, nu2, T, s)
founder_nomig	Round_3_Replicate_14	-729.07	1468.14	1157.11	511.1	0.7883,0.0645,0.1593,0.2904,0.475
founder_nomig	Round_3_Replicate_15	-719.33	1448.66	1314.53	497.79	0.7405,0.2475,0.2241,0.3803,0.4414
founder_nomig	Round_3_Replicate_16	-975.65	1961.3	4817.07	861.05	0.4164,0.2321,0.1032,0.3255,0.3434
founder_nomig	Round_3_Replicate_17	-1400.9	2811.8	4780.57	251.53	1.8767,0.1054,0.0389,0.1848,0.4516
founder_nomig	Round_3_Replicate_18	-694.07	1398.14	1183.8	918.04	0.4176,0.1736,0.1162,0.1994,0.4991
founder_nomig	Round_3_Replicate_19	-746.04	1502.08	1499.65	1063.34	0.3079,0.1494,0.1606,0.1966,0.4682
founder_nomig	Round_3_Replicate_20	-851.31	1712.62	1835.64	1363.15	0.2038,0.1141,0.1978,0.1514,0.4639
founder_nomig	Round_3_Replicate_21	-1592.17	3194.34	6562.78	213.25	2.1932,0.0908,0.0317,0.1716,0.4088
founder_nomig	Round_3_Replicate_22	-912.67	1835.34	1735.84	415.54	1.0177,0.304,0.1305,0.2238,0.465
founder_nomig	Round_3_Replicate_23	-995.49	2000.98	2104.6	250.19	1.7951,0.1425,0.1259,0.3228,0.4639
founder_nomig	Round_3_Replicate_24	-908.67	1827.34	1930.57	1624.6	0.2037,0.0592,0.089,0.0967,0.1624
founder_nomig	Round_3_Replicate_25	-923.2	1856.4	2626.64	190.65	2.3204,0.1591,0.2383,1.0041,0.4487
founder_nomig	Round_3_Replicate_26	-1026.79	2063.58	8433.58	398.25	0.7215,0.0838,0.44,0.8532,0.4217
founder_nomig	Round_3_Replicate_27	-2416.71	4843.42	141174.39	211.49	1.7708,0.4868,0.4688,0.169,0.4558
founder_nomig	Round_3_Replicate_28	-1004.16	2018.32	7295.03	615.64	0.5568,0.163,0.1843,0.5518,0.4437
founder_nomig	Round_3_Replicate_29	-774.17	1558.34	1840.36	503.32	0.6271,0.0958,0.3483,0.4479,0.4228
founder_nomig	Round_3_Replicate_30	-2021.75	4053.5	5847610.26	593.37	0.3835,0.0454,0.1843,0.9777,0.1983
founder_nomig	Round_4_Replicate_1	-723.56	1457.12	1255.41	530.76	0.7798,0.1268,0.1381,0.3055,0.4844
founder_nomig	Round_4_Replicate_2	-743.77	1497.54	1229.42	1005.65	0.359,0.1181,0.1152,0.1661,0.3969
founder_nomig	Round_4_Replicate_3	-707.92	1425.84	1330.07	805.74	0.4574,0.1007,0.1462,0.246,0.4767
founder_nomig	Round_4_Replicate_4	-739.05	1488.1	1335.53	937.07	0.4267,0.2209,0.0844,0.1805,0.444
founder_nomig	Round_4_Replicate_5	-717.29	1444.58	1423.64	685.26	0.548,0.1946,0.1554,0.2938,0.4626
founder_nomig	Round_4_Replicate_6	-696.69	1403.38	1255.15	1137.36	0.3424,0.2714,0.0877,0.166,0.4984
founder_nomig	Round_4_Replicate_7	-694.25	1398.5	1178.7	1008.19	0.382,0.1985,0.1038,0.1801,0.4984
founder_nomig	Round_4_Replicate_8	-697.17	1404.34	1211.59	714.99	0.5212,0.3031,0.1657,0.2643,0.4984
founder_nomig	Round_4_Replicate_9	-770.77	1551.54	1556.1	1176.49	0.2805,0.202,0.1246,0.1678,0.3421
founder_nomig	Round_4_Replicate_10	-798.88	1607.76	1484.02	818.25	0.4199,0.2053,0.1527,0.2091,0.2909
founder_nomig	Round_4_Replicate_11	-696.33	1402.66	1153.87	825.11	0.4642,0.3461,0.1286,0.2153,0.4937
founder_nomig	Round_4_Replicate_12	-801.92	1613.84	1364.4	549.86	0.7159,0.1893,0.1379,0.2476,0.3844
founder_nomig	Round_4_Replicate_13	-698.11	1406.22	1268.57	1222.55	0.3211,0.1698,0.0789,0.1542,0.498
founder_nomig	Round_4_Replicate_14	-694.95	1399.9	1206.19	950.62	0.409,0.2715,0.1058,0.193,0.4983
founder_nomig	Round_4_Replicate_15	-774.14	1558.28	1353.41	520.07	0.8155,0.2483,0.1144,0.2662,0.4644
founder_nomig	Round_4_Replicate_16	-721.78	1453.56	1353.91	835.84	0.4564,0.1487,0.1172,0.2255,0.4474
founder_nomig	Round_4_Replicate_17	-708.62	1427.24	1314.61	670.2	0.6034,0.2573,0.1254,0.2746,0.4929
founder_nomig	Round_4_Replicate_18	-825.94	1661.88	1700.32	785.05	0.3913,0.2241,0.2334,0.2391,0.2559
founder_nomig	Round_4_Replicate_19	-697.6	1405.2	1180.68	734.18	0.521,0.1287,0.1441,0.2461,0.49
founder_nomig	Round_4_Replicate_20	-695.45	1400.9	1182.01	1093.37	0.3487,0.0754,0.0991,0.1671,0.4957
founder_nomig	Round_4_Replicate_21	-742.19	1494.38	1286.17	587.21	0.7098,0.196,0.1159,0.2607,0.4722
founder_nomig	Round_4_Replicate_22	-694.75	1399.5	1161.72	880.17	0.4289,0.2343,0.129,0.2068,0.4999
founder_nomig	Round_4_Replicate_23	-925.17	1860.34	1887.54	718.52	0.5401,0.218,0.0907,0.1815,0.2512
founder_nomig	Round_4_Replicate_24	-782.54	1575.08	1625.14	1082.29	0.3531,0.0846,0.0779,0.1705,0.3749
founder_nomig	Round_4_Replicate_25	-713.95	1437.9	1111.97	553.63	0.6836,0.1217,0.1941,0.2934,0.4703
founder_nomig	Round_4_Replicate_26	-746.65	1503.3	1252.0	622.38	0.6616,0.166,0.1138,0.2366,0.4634
founder_nomig	Round_4_Replicate_27	-706.15	1422.3	1296.26	1167.87	0.3146,0.0774,0.1027,0.1675,0.4792
founder_nomig	Round_4_Replicate_28	-755.02	1520.04	1287.52	734.5	0.482,0.1657,0.1642,0.2319,0.3697
founder_nomig	Round_4_Replicate_29	-753.45	1516.9	1427.38	719.61	0.4496,0.1056,0.234,0.2754,0.4068
founder_nomig	Round_4_Replicate_30	-780.78	1571.56	1498.33	705.01	0.51,0.1408,0.1499,0.252,0.333
founder_nomig	Round_4_Replicate_31	-752.59	1515.18	1375.66	643.87	0.5389,0.2,0.1986,0.286,0.3681
founder_nomig	Round_4_Replicate_32	-715.5	1441.0	1275.88	947.53	0.3689,0.1204,0.1531,0.2056,0.4873
founder_nomig	Round_4_Replicate_33	-700.78	1411.56	1181.7	610.57	0.6246,0.1483,0.1731,0.2936,0.4825
founder_nomig	Round_4_Replicate_34	-696.79	1403.58	1146.81	1024.05	0.379,0.2586,0.0984,0.1702,0.4941
founder_nomig	Round_4_Replicate_35	-730.88	1471.76	1514.36	1009.31	0.3736,0.2306,0.1,0.2013,0.4446
founder_nomig	Round_4_Replicate_36	-704.87	1419.74	1350.1	952.23	0.3854,0.1156,0.1299,0.2133,0.4981
founder_nomig	Round_4_Replicate_37	-915.4	1840.8	2252.39	668.11	0.5979,0.1011,0.087,0.2541,0.3146
founder_nomig	Round_4_Replicate_38	-760.57	1531.14	1344.82	731.2	0.5298,0.1017,0.1152,0.2213,0.3989
founder_nomig	Round_4_Replicate_39	-699.95	1409.9	1125.69	571.4	0.6934,0.146,0.1623,0.2903,0.4963
founder_nomig	Round_4_Replicate_40	-698.86	1407.72	1160.99	1500.67	0.2484,0.2046,0.0784,0.1208,0.4918
